date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,12.2,10.5,14.3,5.6,,,30.4,72,1010.3,
2023-01-02 00:00:00,8.7,4.7,11.4,4.3,,,18,40,1014.7,
2023-01-03 00:00:00,5.5,1,9.3,0.3,,,19.7,58,1023.6,
2023-01-04 00:00:00,11.6,8.8,13,12.3,,,45.8,76,1012.7,
2023-01-05 00:00:00,10.5,9.8,11.5,0.9,,,26.6,61,1017.6,
2023-01-06 00:00:00,10,8.3,11,2.3,,,23.8,54,1015.3,
2023-01-07 00:00:00,10.2,9,11.1,1.3,,,28.6,54,1007.9,
2023-01-08 00:00:00,8.2,6.6,10,3,,,24,54,997.8,
2023-01-09 00:00:00,7.1,5.5,8.5,2.9,,,21.9,43,997.5,
2023-01-10 00:00:00,7.1,5.7,10,8.3,,,26.4,58,1011.3,
2023-01-11 00:00:00,10,8.6,11.9,5.1,,,33.3,65,1007,
2023-01-12 00:00:00,10.7,9.1,11.9,18.8,,,43.2,79,1002.6,
2023-01-13 00:00:00,9,8.1,9.5,0.4,,,38.8,72,1004.8,
2023-01-14 00:00:00,8.2,5.7,11.4,18.7,,,30.6,65,1002.3,
2023-01-15 00:00:00,6.6,3.9,7.9,5.5,,,34.9,79,996.7,
2023-01-16 00:00:00,3.8,2.5,5.1,17.4,,,18.8,58,983.4,
2023-01-17 00:00:00,1.9,-1.2,5,0.6,,,15.3,50,986.7,
2023-01-18 00:00:00,2.3,-2.3,5.4,1,,,22,50,993.7,
2023-01-19 00:00:00,3.7,0.3,5.7,6.6,,,18.4,58,1003.6,
2023-01-20 00:00:00,1.1,0.2,2.3,7.5,,,15.2,32,1014.3,
2023-01-21 00:00:00,0,-2.6,2.4,0,,,7.8,29,1032,
2023-01-22 00:00:00,1.6,-2.4,2.8,0,,,13.5,33.3,1034.4,
2023-01-23 00:00:00,3.3,2.4,4.8,0,,,12.2,29,1037.5,
2023-01-24 00:00:00,2.2,1,3.4,0,,,11.8,29,1039.1,
2023-01-25 00:00:00,0.2,-0.6,0.9,1,,,11.7,29,1032.7,
2023-01-26 00:00:00,4.6,0.3,7.6,2.3,,,15.6,40,1025.4,
2023-01-27 00:00:00,4.2,2.9,6,0,,,21,43,1028.3,
2023-01-28 00:00:00,3.6,1.7,5.6,0,,,8.7,22,1030.6,
2023-01-29 00:00:00,4.8,3.8,7,0.1,,,21,43,1024.8,
2023-01-30 00:00:00,7.1,5,8.3,1.2,,,31.8,63,1018.7,
2023-01-31 00:00:00,6.6,3.6,9.1,0,,,27.9,61,1020.8,
2023-02-01 00:00:00,7.5,6.3,8.4,0,,,38.7,68,1018.3,
2023-02-02 00:00:00,8.3,6.8,9.4,2.4,,,28.8,50,1022.6,
2023-02-03 00:00:00,9,8,9.9,0,,,29.6,58,1026.3,
2023-02-04 00:00:00,7.2,4.9,8.6,0.1,,,6,22,1035.8,
2023-02-05 00:00:00,6.8,3.3,8.4,1.6,,,22.2,58,1039.8,
2023-02-06 00:00:00,4.4,0.4,8.4,0,,,6.8,29,1042,
