date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,12.8,8.6,15.9,0.3,0,,13,36.7,1014.1,0
2023-01-02 00:00:00,11.8,7.7,14.7,0.2,0,,13.3,50.4,1015.6,0
2023-01-03 00:00:00,6.8,4.3,8.5,1.2,0,,10.8,34.6,1026.6,204
2023-01-04 00:00:00,9.1,6.7,12.5,5.8,0,,25.2,67.7,1013.9,0
2023-01-05 00:00:00,8.6,6.8,10.4,4.1,0,,19.4,55.4,1015.7,0
2023-01-06 00:00:00,8.9,6.4,11,0.3,0,,12.6,37.8,1017.1,78
2023-01-07 00:00:00,9.6,7.5,11.9,0,0,,11.9,35.6,1013.6,114
2023-01-08 00:00:00,9.3,5.7,10.4,7.9,0,,13,33.5,1002.9,48
2023-01-09 00:00:00,6.8,5.7,8.9,2.1,0,,12.6,36.4,999.4,138
2023-01-10 00:00:00,6.2,5.1,7.5,0.8,0,,15.1,50.8,1015,12
2023-01-11 00:00:00,7.9,6.3,9.6,5.2,0,,18,47.9,1009.8,0
2023-01-12 00:00:00,8.7,6.9,10.1,5.8,0,,21.6,61.2,1006,0
2023-01-13 00:00:00,8.5,6.8,10.5,0.3,0,,21.6,57.2,1005.3,42
2023-01-14 00:00:00,7.7,5.8,10.1,9,0,,20.9,56.2,1006.3,0
2023-01-15 00:00:00,6.5,5,9.6,0,0,,24.1,69.8,998.3,72
2023-01-16 00:00:00,5,3.1,7,1.7,0,,16.9,42.8,988.5,126
2023-01-17 00:00:00,2,-2.4,4.2,0.8,0,,15.8,65.9,985.6,240
2023-01-18 00:00:00,-1.4,-4.1,1.8,0,0,,6.5,38.2,996,126
2023-01-19 00:00:00,0.6,-1.1,2.1,0.1,0,,15.1,39.2,1004,72
2023-01-20 00:00:00,-0.7,-3.9,2.9,0,0,,6.1,20.2,1017,336
2023-01-21 00:00:00,-0.1,-3.9,2.2,3.8,0,,12.2,40.3,1029.3,24
2023-01-22 00:00:00,0.6,0.2,1.1,1.3,40,,11.5,34.6,1031.2,0
2023-01-23 00:00:00,1.1,0.7,1.5,0,10,,10.4,20.9,1037.8,0
2023-01-24 00:00:00,0.8,0.2,1.2,0,0,,9.7,21.2,1039.9,0
2023-01-25 00:00:00,-0.7,-1.8,0.7,0,0,,8.6,22.7,1032.3,0
2023-01-26 00:00:00,-1,-2.5,1,1.5,0,,7.2,18.4,1023.1,0
2023-01-27 00:00:00,2.1,-0.4,3.2,0.2,0,,14.4,40,1026,0
2023-01-28 00:00:00,-0.4,-2.3,0.9,0,0,,7.2,19.1,1029.5,102
2023-01-29 00:00:00,0.4,-1.5,2.3,1.3,0,,16.6,45.7,1024.1,0
2023-01-30 00:00:00,5,2.3,6.9,0.6,0,,28.8,73.4,1011.7,126
2023-01-31 00:00:00,4.9,3.1,6.7,1,0,,23.8,66.6,1016.7,6
2023-02-01 00:00:00,4.8,2.6,6.8,5.2,0,,25.6,65.5,1012.4,12
2023-02-02 00:00:00,5,3,7.1,7,0,,18,61.2,1019.4,36
2023-02-03 00:00:00,7.5,4.6,9.1,1.7,0,,29.9,66.2,1018.8,0
2023-02-04 00:00:00,1.8,-1.5,5.2,0,0,,7.2,36.4,1036.1,354
2023-02-05 00:00:00,0.4,-1.7,3.5,0,0,,7.9,23.4,1037.3,144
