date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,11.8,9.2,13.7,3.1,,,22.2,,1010.6,
2023-01-02 00:00:00,8.8,4.7,11.5,6.5,,,13.4,,1014.1,
2023-01-03 00:00:00,5.1,1.2,8.6,1.5,,,16.6,,1023.6,
2023-01-04 00:00:00,10.7,8.5,12.2,15.8,,,31.7,,1011.6,
2023-01-05 00:00:00,9.8,8.2,10.5,1.1,,,18.8,,1016.5,
2023-01-06 00:00:00,9.3,7.2,10.7,1.6,,,18.9,,1014.8,
2023-01-07 00:00:00,10.4,9.5,11.5,0.9,,,23.6,,1008.7,
2023-01-08 00:00:00,8.2,6.7,10.1,0.8,,,20.7,,998.6,
2023-01-09 00:00:00,6.5,5.1,8.2,1.6,,,14.5,,996.6,
2023-01-10 00:00:00,6.6,5.5,8.7,8,,,21.3,,1011.2,
2023-01-11 00:00:00,9.4,8,11.5,8.2,,,24.2,,1006.2,
2023-01-12 00:00:00,10.1,8.2,11.2,19.3,,,28.3,,1001.6,
2023-01-13 00:00:00,8.4,7.2,10,0.8,,,29.5,,1002.8,
2023-01-14 00:00:00,7.8,5.7,10.6,13.5,,,24.8,,1002,
2023-01-15 00:00:00,6.2,4.6,7.5,1.9,,,25.3,,995.8,
2023-01-16 00:00:00,4,2.7,4.7,6.9,,,17.3,,983.6,
2023-01-17 00:00:00,2.4,-0.2,4.7,0.7,,,14.1,,985.3,
2023-01-18 00:00:00,1.4,-1.7,3.7,1.8,,,18,,993.2,
2023-01-19 00:00:00,3.5,0.2,5.7,2,,,15.5,,1002.7,
2023-01-20 00:00:00,0.8,-1.4,2.2,0,,,14.9,,1014.4,
2023-01-21 00:00:00,-0.8,-2.1,0.8,0,,,7.6,,1031.5,
2023-01-22 00:00:00,0.6,-1.2,1.5,0,,,10.5,,1034,
2023-01-23 00:00:00,2.3,1.2,3.6,0,,,7.8,,1037.5,
2023-01-24 00:00:00,1.8,-0.2,2.7,0,,,11.2,,1039.6,
2023-01-25 00:00:00,-0.3,-0.7,0.5,0,,,10.9,,1032.3,
2023-01-26 00:00:00,3.6,-0.4,8.1,2.8,,,12.6,,1024.5,
2023-01-27 00:00:00,3.6,2.2,4.5,0,,,13.8,,1028.2,
2023-01-28 00:00:00,2.6,0.8,4.2,0,,,7.1,,1030,
2023-01-29 00:00:00,4.1,3.1,6.2,0,,,18.3,,1024.1,
2023-01-30 00:00:00,6.5,5,8,2,,,29.1,,1016.1,
2023-01-31 00:00:00,5.9,2.2,8.5,0.5,,,22.1,,1019,
2023-02-01 00:00:00,6.6,5.7,7.7,6.6,,,29.3,,1015.8,
2023-02-02 00:00:00,7,5.1,8.5,11.5,,,17.2,,1020.9,
2023-02-03 00:00:00,8.1,7,9.3,0.2,,,25.7,,1024.1,
2023-02-04 00:00:00,6.7,4.2,9.6,0,,,7.2,,1035.5,
2023-02-05 00:00:00,6.3,2.2,8.2,3.3,,,20.1,,1038,
2023-02-06 00:00:00,4.2,1,8.1,0,,,7.6,,1041.6,
2023-02-07 00:00:00,0.7,-2.5,4.7,0,,,5.4,,1040.4,
2023-02-08 00:00:00,1.3,-2.3,6.1,0,,,9.8,,1036.9,
2023-02-09 00:00:00,1.3,-0.9,3.7,0,,,12.3,,1031.2,
2023-02-10 00:00:00,3.6,-0.5,7.7,0,,,13.4,,1034.2,
2023-02-11 00:00:00,7.1,4.2,9.5,0,,,14.1,,1033.5,
2023-02-12 00:00:00,5.8,2.5,8.5,0,,,5,,1038.5,
2023-02-13 00:00:00,6.2,2.2,9.1,0,,,6.9,,1037,
